 ['7.99', '2.02', '-4.01', '-1.01', '-0.01', '0.02'],
 ['7.0', '2.02', '-7.0', '-1.0', '0.0', '0.02'],
 ['6.99', '-1.99', '-9.01', '-2.01', '0.99', '0.01'],
 ['7.01', '-3.0', '-7.99', '-0.99', '1.01', '0.0'],
 ['1.99', '-1.01', '-7.01', '-1.01', '1.99', '-0.01'],
 ['3.0', '-1.98', '-4.0', '-1.0', '2.0', '0.02'],
 ['7.0', '-2.01', '-4.0', '0.0', '2.0', '-0.01'],
 ['10.0', '-1.99', '-1.0', '0.0', '3.0', '0.01'],
 ['5.0', '0.01', '2.0', '0.0', '3.0', '0.01'],
 ['0.0', '-0.99', '5.0', '0.0', '2.0', '-0.99'],
 ['6.01', '-4.0', '7.01', '0.01', '0.01', '-1.0'],
 ['11.0', '-2.99', '7.0', '0.0', '0.0', '-1.99'],
 ['3.01', '-6.99', '10.01', '-0.99', '0.01', '-1.99'],
 ['5.0', '-5.99', '8.0', '-1.0', '0.0', '-2.99'],
 ['8.01', '-12.01', '10.01', '0.01', '-0.99', '-2.01'],
 ['8.99', '-17.01', '6.99', '0.99', '-0.01', '-1.01'],
 ['5.0', '-11.99', '5.0', '3.0', '-1.0', '-0.99'],
 ['10.01', '-0.99', '3.01', '2.01', '-1.99', '-0.99'],
 ['12.01', '1.02', '5.01', '0.01', '-0.99', '0.02'],
 ['11.01', '-9.99', '4.01', '0.01', '0.01', '0.01'],
 ['8.0', '-15.0', '5.0', '0.0', '0.0', '0.0'],
 ['7.99', '-9.02', '3.99', '0.99', '-0.01', '-0.02'],
 ['7.01', '-2.01', '4.01', '0.01', '0.01', '-0.01'],
 ['7.01', '-3.98', '4.01', '0.01', '-0.99', '0.02'],
 ['7.0', '-7.0', '4.0', '0.0', '0.0', '0.0'],
 ['4.99', '-7.02', '4.99', '-0.01', '-1.01', '-0.02'],
 ['5.0', '-5.99', '4.0', '0.0', '-1.0', '0.01'],
 ['5.99', '-4.99', '2.99', '-0.01', '-1.01', '0.01'],
 ['6.99', '-3.99', '2.99', '-0.01', '-1.01', '0.01'],
 ['8.0', '-3.0', '2.0', '0.0', '-1.0', '0.0'],
 ['8.01', '-3.02', '2.01', '0.01', '-0.99', '-0.02'],
 ['9.0', '-2.98', '3.0', '0.0', '-2.0', '0.02'],
 ['11.0', '-4.01', '3.0', '0.0', '-2.0', '-0.01'],
 ['12.0', '-3.99', '0.0', '0.0', '-1.0', '0.01'],
 ['11.0', '-1.02', '-1.0', '0.0', '0.0', '-0.02'],
 ['12.0', '-0.02', '-1.0', '0.0', '0.0', '-0.02'],
 ['13.0', '0.99', '-2.0', '-1.0', '0.0', '-0.01'],
 ['9.0', '0.98', '-3.0', '-2.0', '0.0', '-1.02'],
 ['6.0', '0.02', '-2.0', '-2.0', '0.0', '-0.98'],
 ['5.01', '-1.01', '0.01', '-1.99', '1.01', '-2.01'],
 ['3.0', '0.01', '1.0', '-2.0', '1.0', '-1.99'],
 ['-0.01', '0.0', '1.99', '-1.01', '0.99', '-1.0'],
 ['-0.01', '-2.98', '4.99', '-0.01', '0.99', '-0.98'],
 ['7.01', '-10.01', '0.01', '0.01', '1.01', '-1.01'],
 ['-1.99', '-7.02', '5.01', '0.01', '2.01', '-0.02'],
 ['8.0', '-9.0', '5.0', '3.0', '1.0', '0.0'],
 ['15.99', '3.99', '0.99', '0.99', '1.99', '-0.01'],
 ['18.01', '7.0', '0.01', '1.01', '1.01', '-1.0'],
 ['15.0', '5.99', '3.0', '0.0', '1.0', '-1.01'],
 ['8.99', '0.01', '4.99', '-1.01', '1.99', '-0.99'],
 ['7.01', '-7.02', '5.01', '0.01', '2.01', '-0.02'],
 ['5.01', '0.01', '10.01', '0.01', '1.01', '0.01'],
 ['2.01', '11.02', '10.01', '0.01', '1.01', '-0.98'],
 ['4.99', '7.99', '9.99', '-0.01', '0.99', '-0.01'],
 ['4.0', '3.01', '12.0', '0.0', '0.0', '0.01'],
 ['4.01', '5.99', '14.01', '0.01', '0.01', '-0.01'],
 ['7.99', '9.0', '12.99', '-0.01', '-0.01', '0.0'],
 ['19.0', '3.01', '12.0', '0.0', '0.0', '0.01'],
 ['19.0', '-1.99', '9.0', '0.0', '0.0', '0.01'],
 ['19.0', '-4.99', '5.0', '0.0', '0.0', '0.01'],
 ['19.0', '-7.0', '-1.0', '0.0', '0.0', '0.0'],
 ['18.99', '-4.02', '-7.01', '-1.01', '-0.01', '-0.02'],
 ['14.0', '-0.02', '-8.0', '-3.0', '0.0', '-0.02'],
 ['10.0', '1.0', '-1.0', '-5.0', '1.0', '0.0'],
 ['3.01', '-2.01', '-4.99', '-3.99', '2.01', '-0.01'],
 ['-1.99', '-9.0', '-12.99', '-2.99', '1.01', '0.0'],
 ['12.0', '-19.01', '-15.0', '1.0', '0.0', '0.99'],
 ['12.01', '0.01', '-8.99', '2.01', '2.01', '1.01'],
 ['5.0', '6.99', '-10.0', '1.0', '3.0', '-0.01'],
 ['0.01', '9.01', '-7.99', '0.01', '2.01', '0.01'],
 ['2.0', '1.01', '-7.0', '-1.0', '1.0', '0.01'],
 ['2.0', '-4.99', '-5.0', '-1.0', '1.0', '0.01'],
 ['4.0', '-9.01', '-1.0', '-2.0', '1.0', '-0.01'],
 ['9.99', '-6.0', '1.99', '-0.01', '-0.01', '0.0'],
 ['14.01', '-1.01', '4.01', '0.01', '0.01', '-0.01'],
 ['14.0', '1.02', '8.0', '1.0', '0.0', '1.02'],
 ['15.01', '4.0', '12.01', '2.01', '0.01', '1.0'],
 ['11.99', '7.99', '16.99', '0.99', '-0.01', '1.99'],
 ['8.01', '7.01', '18.01', '1.01', '-0.99', '2.01'],
 ['7.0', '3.99', '18.0', '0.0', '-2.0', '0.99'],
 ['5.0', '2.99', '18.0', '0.0', '-3.0', '0.99'],
 ['3.0', '1.01', '17.0', '0.0', '-4.0', '1.01'],
 ['4.0', '-1.01', '15.0', '0.0', '-4.0', '0.99'],
 ['3.01', '-2.0', '13.01', '1.01', '-4.99', '1.0'],
 ['6.01', '-1.01', '8.01', '0.01', '-4.99', '0.99'],
 ['4.0', '0.0', '8.0', '0.0', '-5.0', '1.0'],
 ['5.01', '1.99', '4.01', '0.01', '-3.99', '-0.01'],
 ['4.01', '3.99', '1.01', '0.01', '-3.99', '-0.01'],
 ['3.0', '1.02', '0.0', '0.0', '-4.0', '0.02'],
